"scene_id","title","release_year","scene_location","scene_location","production_co","director","filming_type","zip_code","start_date","end_date"
"736967","D.O.A","1950","Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle)","mark hopkins intercontinental hotel (1 nob hill circle)","Cardinal Pictures","Rudolph Mate","Feature Film","94108","3/15/1950","3/18/1950"
"386752","D.O.A","1950","Market & Steuart Streets (Financial District)","market & steuart streets (financial district)","Cardinal Pictures","Rudolph Mate","Feature Film","94105","12/26/1950","12/29/1950"
"100102","D.O.A","1950","Market Street (from 6th- 4th Streets)","market street (from 6th- 4th streets)","Cardinal Pictures","Rudolph Mate","Feature Film","94104","3/8/1950","3/11/1950"
"306956","Woman on the Run","1950","Former Hall of Justice (750 Kearny Street at Washington)","former hall of justice (750 kearny street at washington)","Fidelity Pictures Corporation","Norman Foster","Feature Film","94103","9/24/1950","9/27/1950"
"732136","Woman on the Run","1950","835-865 Market Street at 5th Street","835-865 market street at 5th street","Fidelity Pictures Corporation","Norman Foster","Feature Film","94102","2/22/1950","2/25/1950"
"923371","Woman on the Run","1950","819 Mason Street at Pine","819 mason street at pine","Fidelity Pictures Corporation","Norman Foster","Feature Film","94108","11/28/1950","12/1/1950"
"302504","Woman on the Run","1950","772 Commercial Street at Kearney","772 commercial street at kearney","Fidelity Pictures Corporation","Norman Foster","Feature Film","94108","4/21/1950","4/24/1950"
"775362","Woman on the Run","1950","1801 Laguna at Bush","1801 laguna at bush","Fidelity Pictures Corporation","Norman Foster","Feature Film","94115","12/18/1950","12/21/1950"
"886447","Woman on the Run","1950","Cable Car Signal Box (California Street at Powell Street)","cable car signal box (california street at powell street)","Fidelity Pictures Corporation","Norman Foster","Feature Film","94108","10/25/1950","10/28/1950"
"423291","The House on Telegraph Hill","1951","Telegraph Hill","telegraph hill","Twentieth Century Fox Film Corp.","Robert Wise","Feature Film","94133","2/27/1951","3/2/1951"
"606861","The House on Telegraph Hill","1951","Market Street","market street","Twentieth Century Fox Film Corp.","Robert Wise","Feature Film","94104","6/7/1951","6/10/1951"
"395899","The House on Telegraph Hill","1951","Coit Tower","coit tower","Twentieth Century Fox Film Corp.","Robert Wise","Feature Film","94133","1/7/1951","1/10/1951"
"468257","The House on Telegraph Hill","1951","1227 Montgomery Street","1227 montgomery street","Twentieth Century Fox Film Corp.","Robert Wise","Feature Film","94133","2/23/1951","2/26/1951"
"179767","Sudden Fear","1952","Lombard Street","lombard street","Joseph Kaufmann Pictures","David Miller","Feature Film","94109","5/21/1952","5/24/1952"
"125489","Sudden Fear","1952","The Tamalpais Building (1201 Greenwich Street at Hyde)","the tamalpais building (1201 greenwich street at hyde)","Joseph Kaufmann Pictures","David Miller","Feature Film","94109","5/14/1952","5/17/1952"
"425229","Sudden Fear","1952","Brocklebank Apartments (1000 Mason Street)","brocklebank apartments (1000 mason street)","Joseph Kaufmann Pictures","David Miller","Feature Film","94108","2/8/1952","2/11/1952"
"606806","Sudden Fear","1952","2800 Scott Street","2800 scott street","Joseph Kaufmann Pictures","David Miller","Feature Film","94123","3/22/1952","3/25/1952"
"558900","The Caine Mutiny","1954","The Embarcadero","the embarcadero","Stanley Kramer Productions","Edward Dmytryk","Feature Film","94105","7/11/1954","7/14/1954"
"351448","The Caine Mutiny","1954","Golden Gate Bridge","golden gate bridge","Stanley Kramer Productions","Edward Dmytryk","Feature Film","94129","8/15/1954","8/18/1954"
"326278","It Came From Beneath the Sea","1955","Hunters Point","hunters point","Clover Productions","Robert Gordon","Feature Film","94124","8/9/1955","8/12/1955"
"725041","It Came From Beneath the Sea","1955","Chrissy Field","chrissy field","Clover Productions","Robert Gordon","Feature Film","94129","1/28/1955","1/31/1955"
"778668","It Came From Beneath the Sea","1955","Golden Gate Bridge","golden gate bridge","Clover Productions","Robert Gordon","Feature Film","94129","4/5/1955","4/8/1955"
"416469","The Ten Commandments","1956","St. Peter & Paul's Church (666 Filbert Street, Washington Square)","st peter & paul's church (666 filbert street washington square)","Paramount Pictures","Cecil B. DeMille","Feature Film","94133","6/17/1956","6/20/1956"
"257983","Pal Joey","1957","Spreckels Mansion (2080 Washington Street, Pacific Heights)","spreckels mansion (2080 washington street pacific heights)","Columbia Pictures Corporation","George Sidney","Feature Film","94109","8/1/1957","8/4/1957"
"846780","Pal Joey","1957","Coit Tower","coit tower","Columbia Pictures Corporation","George Sidney","Feature Film","94133","8/21/1957","8/24/1957"
"163083","Pal Joey","1957","Barbary Coast","barbary coast","Columbia Pictures Corporation","George Sidney","Feature Film","94103","9/21/1957","9/24/1957"
"671768","The Lineup","1958","War Memorial Opera House (401 Van Ness Avenue)","war memorial opera house (401 van ness avenue)","Pajemer Productions","Don Siegel","Feature Film","94102","9/7/1958","9/10/1958"
"401693","The Lineup","1958","The Embarcadero","the embarcadero","Pajemer Productions","Don Siegel","Feature Film","94105","5/18/1958","5/21/1958"
"816792","The Lineup","1958","Sutro Baths (Point Lobos Avenue)","sutro baths (point lobos avenue)","Pajemer Productions","Don Siegel","Feature Film","94121","7/15/1958","7/18/1958"
"727823","The Lineup","1958","Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","steinhart aquarium (california academy of sciences golden gate park)","Pajemer Productions","Don Siegel","Feature Film","94118","1/27/1958","1/30/1958"
"566204","The Lineup","1958","Pier 41","pier 41","Pajemer Productions","Don Siegel","Feature Film","94133","12/22/1958","12/25/1958"
"534085","The Lineup","1958","Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)","mark hopkins intercontinental hotel (1 nob hill circle nob hill)","Pajemer Productions","Don Siegel","Feature Film","94108","4/4/1958","4/7/1958"
"105260","The Lineup","1958","2090 Jackson Street","2090 jackson street","Pajemer Productions","Don Siegel","Feature Film","94109","4/28/1958","5/1/1958"
"677846","Vertigo","1958","Palace of Fine Arts (3301 Lyon Street)","palace of fine arts (3301 lyon street)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94123","11/24/1958","11/27/1958"
"765129","Vertigo","1958","York Hotel (940 Sutter Street)","york hotel (940 sutter street)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94109","9/4/1958","9/7/1958"
"711063","Vertigo","1958","San Francisco Drydock (20th and Illinois Streets)","san francisco drydock (20th and illinois streets)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94107","11/27/1958","11/30/1958"
"125850","Vertigo","1958","Park Hill Sanatorium (351 Buena Vista Avenue East)","park hill sanatorium (351 buena vista avenue east)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94117","1/22/1958","1/25/1958"
"675132","Vertigo","1958","Mission San Juan Bautista (2nd & Mariposa Streets)","mission san juan bautista (2nd & mariposa streets)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","95045","11/16/1958","11/19/1958"
"626194","Vertigo","1958","Mission Dolores (3321 16th Street, Mission District)","mission dolores (3321 16th street mission district)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94114","7/7/1958","7/10/1958"
